Time(s),Load(N),Disp(mm)
0.000,499.802,0.0000
601.002,499.491,0.0036
1202.003,500.151,0.0071
1803.005,500.186,0.0105
2404.007,499.923,0.0139
3005.008,500.092,0.0173
3606.010,500.428,0.0205
4207.012,500.265,0.0238
4808.013,500.177,0.0270
5409.015,500.172,0.0301
6010.017,499.784,0.0332
6611.018,500.241,0.0363
7212.020,499.588,0.0393
7813.022,499.917,0.0423
8414.023,499.891,0.0452
9015.025,499.568,0.0481
9616.027,499.972,0.0510
10217.028,500.411,0.0538
10818.030,499.915,0.0566
11419.032,499.698,0.0593
12020.033,499.977,0.0621
12621.035,500.213,0.0647
13222.037,500.048,0.0674
13823.038,499.999,0.0700
14424.040,499.648,0.0726
15025.042,500.125,0.0752
15626.043,500.121,0.0777
16227.045,500.335,0.0802
16828.047,500.372,0.0827
17429.048,500.172,0.0851
18030.050,499.589,0.0875
18631.052,499.641,0.0899
19232.053,499.726,0.0923
19833.055,500.074,0.0946
20434.057,499.803,0.0970
21035.058,500.327,0.0993
21636.060,500.061,0.1015
22237.062,500.091,0.1038
22838.063,500.188,0.1060
23439.065,500.085,0.1083
24040.067,499.647,0.1105
24641.068,500.613,0.1126
25242.070,500.366,0.1148
25843.072,500.381,0.1169
26444.073,499.813,0.1191
27045.075,499.538,0.1212
27646.077,499.623,0.1233
28247.078,499.737,0.1253
28848.080,500.221,0.1274
29449.082,500.225,0.1294
30050.083,500.365,0.1315
30651.085,500.536,0.1335
31252.087,500.130,0.1355
31853.088,500.089,0.1375
32454.090,499.909,0.1394
33055.092,499.916,0.1414
33656.093,499.711,0.1434
34257.095,500.128,0.1453
34858.097,500.080,0.1472
35459.098,499.899,0.1491
36060.100,499.797,0.1510
36661.102,500.114,0.1529
37262.104,500.327,0.1548
37863.105,500.020,0.1567
38464.107,500.071,0.1585
39065.109,499.863,0.1604
39666.110,499.938,0.1622
40267.112,499.921,0.1640
40868.114,499.929,0.1659
41469.115,499.851,0.1677
42070.117,500.099,0.1695
42671.119,500.325,0.1713
43272.120,499.763,0.1731
43873.122,500.350,0.1748
44474.124,499.899,0.1766
45075.125,499.908,0.1784
45676.127,499.461,0.1801
46277.129,499.395,0.1819
46878.130,500.184,0.1836
47479.132,499.727,0.1854
48080.134,500.201,0.1871
48681.135,500.013,0.1888
49282.137,500.063,0.1905
49883.139,500.333,0.1923
50484.140,499.982,0.1940
51085.142,499.183,0.1957
51686.144,499.565,0.1974
52287.145,500.243,0.1991
52888.147,500.499,0.2007
53489.149,499.976,0.2024
54090.150,499.824,0.2041
54691.152,499.652,0.2058
55292.154,500.137,0.2074
55893.155,499.551,0.2091
56494.157,499.689,0.2108
57095.159,500.034,0.2124
57696.160,500.025,0.2141
58297.162,499.935,0.2157
58898.164,500.266,0.2173
59499.165,499.689,0.2190
60100.167,499.702,0.2206
60701.169,499.895,0.2222
61302.170,500.016,0.2239
61903.172,499.916,0.2255
62504.174,500.498,0.2271
63105.175,499.849,0.2287
63706.177,500.159,0.2303
64307.179,499.853,0.2319
64908.180,500.080,0.2336
65509.182,499.889,0.2352
66110.184,499.902,0.2368
66711.185,500.406,0.2384
67312.187,499.916,0.2400
67913.189,500.429,0.2416
68514.190,499.815,0.2431
69115.192,499.883,0.2447
69716.194,500.277,0.2463
70317.195,499.380,0.2479
70918.197,499.582,0.2495
71519.199,500.004,0.2511
72120.200,500.119,0.2526
72721.202,500.143,0.2542
73322.204,499.918,0.2558
73923.205,499.639,0.2574
74524.207,500.209,0.2589
75125.209,500.112,0.2605
75726.210,499.715,0.2621
76327.212,500.022,0.2636
76928.214,500.455,0.2652
77529.215,500.031,0.2668
78130.217,499.699,0.2683
78731.219,499.892,0.2699
79332.220,499.906,0.2714
79933.222,500.086,0.2730
80534.224,500.228,0.2745
81135.225,499.762,0.2761
81736.227,499.834,0.2776
82337.229,500.258,0.2792
82938.230,500.187,0.2807
83539.232,500.343,0.2823
84140.234,499.628,0.2838
84741.235,499.756,0.2854
85342.237,500.254,0.2869
85943.239,499.758,0.2885
86544.240,500.082,0.2900
87145.242,499.985,0.2915
