Time(s),Load(N),Disp(mm)
0.000,650.544,0.0000
600.667,649.781,0.0039
1201.335,649.674,0.0078
1802.002,649.879,0.0116
2402.670,649.654,0.0153
3003.337,650.452,0.0191
3604.004,650.264,0.0228
4204.672,650.191,0.0264
4805.339,650.423,0.0301
5406.007,649.820,0.0336
6006.674,649.606,0.0372
6607.341,650.104,0.0407
7208.009,650.093,0.0442
7808.676,649.743,0.0476
8409.344,650.161,0.0510
9010.011,650.442,0.0544
9610.679,649.840,0.0577
10211.346,650.058,0.0611
10812.013,650.103,0.0643
11412.681,650.146,0.0676
12013.348,650.307,0.0708
12614.016,650.177,0.0740
13214.683,650.420,0.0772
13815.350,649.757,0.0803
14416.018,649.858,0.0834
15016.685,650.246,0.0865
15617.353,649.867,0.0896
16218.020,649.832,0.0926
16818.687,649.986,0.0956
17419.355,650.106,0.0986
18020.022,649.851,0.1016
18620.690,650.178,0.1045
19221.357,650.416,0.1074
19822.024,649.465,0.1103
20422.692,649.314,0.1132
21023.359,650.226,0.1160
21624.027,649.761,0.1189
22224.694,650.437,0.1217
22825.362,650.861,0.1245
23426.029,649.957,0.1272
24026.696,649.885,0.1300
24627.364,649.998,0.1327
25228.031,650.084,0.1354
25828.699,649.986,0.1381
26429.366,649.729,0.1408
27030.033,650.124,0.1435
27630.701,649.394,0.1461
28231.368,650.118,0.1487
28832.036,650.030,0.1514
29432.703,650.392,0.1539
30033.370,650.049,0.1565
30634.038,650.146,0.1591
31234.705,649.716,0.1616
31835.373,650.052,0.1642
32436.040,650.233,0.1667
33036.707,650.306,0.1692
33637.375,650.036,0.1717
34238.042,650.476,0.1742
34838.710,650.383,0.1766
35439.377,649.804,0.1791
36040.044,649.260,0.1815
36640.712,649.671,0.1839
37241.379,650.021,0.1864
37842.047,650.048,0.1888
38442.714,649.912,0.1911
39043.382,649.874,0.1935
39644.049,650.195,0.1959
40244.716,649.824,0.1982
40845.384,649.362,0.2006
41446.051,649.907,0.2029
42046.719,650.305,0.2053
42647.386,649.745,0.2076
43248.053,650.192,0.2099
43848.721,650.173,0.2122
44449.388,649.995,0.2145
45050.056,650.123,0.2167
45650.723,649.725,0.2190
46251.390,650.018,0.2213
46852.058,650.450,0.2235
47452.725,649.977,0.2257
48053.393,649.669,0.2280
48654.060,650.439,0.2302
49254.727,649.592,0.2324
49855.395,650.496,0.2346
50456.062,650.029,0.2368
51056.730,650.185,0.2390
51657.397,650.106,0.2412
52258.065,650.006,0.2434
52858.732,650.324,0.2456
53459.399,649.977,0.2477
54060.067,649.755,0.2499
54660.734,650.013,0.2520
55261.402,649.477,0.2542
55862.069,649.957,0.2563
56462.736,649.469,0.2584
57063.404,650.007,0.2606
57664.071,650.219,0.2627
58264.739,650.194,0.2648
58865.406,649.959,0.2669
59466.073,649.192,0.2690
60066.741,649.859,0.2711
60667.408,650.385,0.2732
61268.076,649.817,0.2753
61868.743,650.166,0.2774
62469.410,649.805,0.2795
63070.078,650.479,0.2815
63670.745,649.374,0.2836
64271.413,649.850,0.2856
64872.080,649.891,0.2877
65472.747,650.158,0.2898
66073.415,650.014,0.2918
66674.082,650.052,0.2939
67274.750,649.317,0.2959
67875.417,650.599,0.2979
68476.085,650.062,0.3000
69076.752,649.812,0.3020
69677.419,650.418,0.3040
70278.087,649.667,0.3060
70878.754,650.107,0.3080
71479.422,650.303,0.3101
72080.089,650.235,0.3121
72680.756,650.077,0.3141
73281.424,649.978,0.3161
73882.091,649.702,0.3181
74482.759,650.106,0.3201
75083.426,649.620,0.3220
75684.093,650.324,0.3240
76284.761,650.265,0.3260
76885.428,650.011,0.3280
77486.096,649.432,0.3300
78086.763,650.202,0.3320
78687.430,650.200,0.3339
79288.098,649.683,0.3359
79888.765,649.884,0.3379
80489.433,650.053,0.3398
81090.100,650.220,0.3418
81690.768,649.898,0.3437
82291.435,649.761,0.3457
82892.102,649.854,0.3477
83492.770,649.716,0.3496
84093.437,650.538,0.3516
84694.105,650.556,0.3535
85294.772,649.394,0.3554
85895.439,649.888,0.3574
86496.107,650.473,0.3593
87096.774,650.425,0.3613
87697.442,650.593,0.3632
88298.109,650.381,0.3651
88898.776,650.143,0.3671
89499.444,650.096,0.3690
90100.111,650.422,0.3709
90700.779,650.139,0.3729
91301.446,649.512,0.3748
91902.113,650.050,0.3767
92502.781,649.472,0.3786
93103.448,650.251,0.3805
93704.116,650.105,0.3825
94304.783,649.964,0.3844
94905.451,650.086,0.3863
95506.118,649.488,0.3882
96106.785,649.851,0.3901
96707.453,649.825,0.3920
97308.120,650.032,0.3939
97908.788,649.940,0.3958
98509.455,650.056,0.3977
99110.122,650.070,0.3996
99710.790,649.587,0.4015
100311.457,649.634,0.4034
100912.125,650.340,0.4053
101512.792,649.748,0.4072
102113.459,649.951,0.4091
102714.127,650.242,0.4110
103314.794,649.902,0.4129
103915.462,650.652,0.4148
104516.129,649.726,0.4167
105116.796,649.818,0.4186
105717.464,649.395,0.4205
106318.131,650.253,0.4224
106918.799,649.884,0.4243
107519.466,650.185,0.4261
108120.133,650.155,0.4280
108720.801,650.732,0.4299
109321.468,650.167,0.4318
109922.136,649.877,0.4337
110522.803,649.864,0.4356
111123.471,650.240,0.4374
111724.138,649.430,0.4393
112324.805,649.850,0.4412
112925.473,649.540,0.4431
113526.140,649.711,0.4449
114126.808,650.360,0.4468
114727.475,649.727,0.4487
115328.142,649.865,0.4506
115928.810,650.252,0.4524
116529.477,649.538,0.4543
117130.145,650.035,0.4562
117730.812,649.640,0.4581
118331.479,650.060,0.4599
118932.147,649.865,0.4618
119532.814,650.303,0.4637
120133.482,649.975,0.4655
120734.149,650.141,0.4674
121334.816,650.433,0.4693
121935.484,649.978,0.4711
122536.151,650.403,0.4730
123136.819,650.216,0.4749
123737.486,650.280,0.4767
124338.154,649.786,0.4786
124938.821,650.067,0.4805
125539.488,650.048,0.4823
126140.156,650.227,0.4842
126740.823,650.342,0.4860
127341.491,650.308,0.4879
127942.158,650.194,0.4898
128542.825,649.846,0.4916
129143.493,649.865,0.4935
129744.160,650.156,0.4953
130344.828,649.662,0.4972
130945.495,649.905,0.4991
131546.162,649.975,0.5009
132146.830,650.144,0.5028
132747.497,650.178,0.5046
133348.165,649.658,0.5065
133948.832,650.203,0.5083
134549.499,649.436,0.5102
135150.167,649.813,0.5120
135750.834,650.281,0.5139
136351.502,649.915,0.5158
136952.169,650.132,0.5176
137552.836,650.754,0.5195
138153.504,649.941,0.5213
138754.171,649.948,0.5232
139354.839,649.377,0.5250
139955.506,650.104,0.5269
140556.174,650.431,0.5287
141156.841,650.064,0.5306
141757.508,650.029,0.5324
142358.176,650.893,0.5343
142958.843,650.054,0.5361
143559.511,650.053,0.5380
144160.178,650.038,0.5398
144760.845,649.701,0.5417
145361.513,650.232,0.5435
145962.180,650.392,0.5454
146562.848,650.333,0.5472
147163.515,650.258,0.5491
147764.182,649.783,0.5509
148364.850,649.864,0.5528
148965.517,650.851,0.5546
149566.185,649.635,0.5565
150166.852,649.589,0.5583
150767.519,649.993,0.5601
151368.187,649.553,0.5620
151968.854,649.633,0.5638
152569.522,649.562,0.5657
153170.189,649.650,0.5675
153770.857,649.936,0.5694
154371.524,650.219,0.5712
154972.191,650.040,0.5731
155572.859,650.230,0.5749
156173.526,649.879,0.5768
156774.194,649.197,0.5786
157374.861,649.764,0.5804
157975.528,649.478,0.5823
158576.196,650.066,0.5841
159176.863,650.151,0.5860
159777.531,649.813,0.5878
160378.198,649.950,0.5897
160978.865,650.177,0.5915
161579.533,650.348,0.5933
162180.200,649.770,0.5952
162780.868,650.270,0.5970
163381.535,649.844,0.5989
163982.202,650.255,0.6007
164582.870,649.194,0.6026
165183.537,649.865,0.6044
165784.205,650.101,0.6062
166384.872,649.613,0.6081
166985.539,649.231,0.6099
167586.207,649.626,0.6118
168186.874,649.907,0.6136
168787.542,650.119,0.6155
169388.209,650.172,0.6173
169988.877,649.982,0.6191
170589.544,649.532,0.6210
171190.211,649.657,0.6228
171790.879,650.141,0.6247
172391.546,650.266,0.6265
172992.214,650.023,0.6283
173592.881,650.572,0.6302
174193.548,649.806,0.6320
174794.216,649.987,0.6339
175394.883,650.052,0.6357
175995.551,649.926,0.6375
176596.218,649.592,0.6394
177196.885,649.584,0.6412
177797.553,650.006,0.6431
178398.220,650.123,0.6449
178998.888,650.538,0.6467
179599.555,650.014,0.6486
180200.222,649.166,0.6504
180800.890,649.571,0.6523
181401.557,649.497,0.6541
182002.225,649.711,0.6559
182602.892,650.141,0.6578
183203.560,650.088,0.6596
183804.227,650.087,0.6615
184404.894,649.567,0.6633
185005.562,649.885,0.6651
185606.229,649.986,0.6670
186206.897,650.625,0.6688
186807.564,650.399,0.6706
187408.231,649.943,0.6725
188008.899,650.263,0.6743
188609.566,650.038,0.6762
189210.234,649.910,0.6780
189810.901,649.895,0.6798
190411.568,649.468,0.6817
191012.236,650.470,0.6835
191612.903,650.039,0.6854
192213.571,649.643,0.6872
192814.238,649.862,0.6890
193414.905,649.823,0.6909
194015.573,649.946,0.6927
194616.240,649.851,0.6945
195216.908,650.488,0.6964
195817.575,649.487,0.6982
196418.242,650.314,0.7001
197018.910,649.959,0.7019
197619.577,650.289,0.7037
198220.245,649.840,0.7056
198820.912,649.703,0.7074
199421.580,650.058,0.7092
200022.247,650.639,0.7111
200622.914,649.632,0.7129
201223.582,650.222,0.7148
201824.249,650.432,0.7166
202424.917,650.152,0.7184
203025.584,649.970,0.7203
203626.251,650.619,0.7221
204226.919,650.022,0.7239
204827.586,650.251,0.7258
205428.254,650.078,0.7276
206028.921,650.173,0.7295
206629.588,649.857,0.7313
207230.256,649.783,0.7331
207830.923,650.382,0.7350
208431.591,650.024,0.7368
209032.258,650.182,0.7386
209632.925,649.667,0.7405
210233.593,650.293,0.7423
210834.260,650.411,0.7441
211434.928,650.059,0.7460
212035.595,649.527,0.7478
212636.263,650.241,0.7497
213236.930,649.512,0.7515
213837.597,650.180,0.7533
214438.265,650.259,0.7552
215038.932,649.619,0.7570
215639.600,649.793,0.7588
216240.267,649.582,0.7607
216840.934,649.736,0.7625
217441.602,649.567,0.7644
218042.269,649.487,0.7662
218642.937,649.470,0.7680
219243.604,650.197,0.7699
219844.271,650.054,0.7717
220444.939,650.328,0.7735
221045.606,649.895,0.7754
221646.274,650.411,0.7772
222246.941,649.612,0.7790
222847.608,649.968,0.7809
223448.276,649.913,0.7827
224048.943,649.643,0.7846
224649.611,649.720,0.7864
225250.278,649.597,0.7882
225850.945,649.999,0.7901
226451.613,649.763,0.7919
227052.280,650.106,0.7937
227652.948,650.083,0.7956
228253.615,649.927,0.7974
228854.283,649.768,0.7992
229454.950,649.885,0.8011
230055.617,650.225,0.8029
230656.285,650.048,0.8047
231256.952,649.877,0.8066
231857.620,649.905,0.8084
232458.287,650.530,0.8103
233058.954,649.877,0.8121
233659.622,649.920,0.8139
234260.289,650.194,0.8158
234860.957,649.862,0.8176
235461.624,649.574,0.8194
236062.291,649.756,0.8213
236662.959,649.875,0.8231
237263.626,649.977,0.8249
237864.294,649.923,0.8268
238464.961,649.704,0.8286
239065.628,650.019,0.8305
239666.296,650.200,0.8323
240266.963,649.613,0.8341
240867.631,650.636,0.8360
241468.298,649.676,0.8378
242068.966,650.473,0.8396
242669.633,650.419,0.8415
243270.300,650.374,0.8433
243870.968,650.292,0.8451
244471.635,649.662,0.8470
245072.303,649.807,0.8488
245672.970,650.193,0.8506
246273.637,649.727,0.8525
246874.305,650.233,0.8543
247474.972,649.682,0.8562
248075.640,649.635,0.8580
248676.307,650.033,0.8598
249276.974,649.853,0.8617
249877.642,650.113,0.8635
250478.309,649.829,0.8653
251078.977,649.528,0.8672
251679.644,650.141,0.8690
252280.311,649.629,0.8708
252880.979,649.889,0.8727
