Time(s),Load(N),Disp(mm)
0.000,399.846,0.0000
1501.251,399.911,0.0022
3002.502,399.825,0.0044
4503.753,400.047,0.0065
6005.004,399.865,0.0086
7506.255,400.325,0.0107
9007.506,399.790,0.0127
10508.757,399.798,0.0147
12010.008,399.737,0.0166
13511.259,400.080,0.0186
15012.510,399.767,0.0205
16513.761,400.213,0.0223
18015.013,399.843,0.0242
19516.264,400.148,0.0260
21017.515,400.385,0.0278
22518.766,399.844,0.0296
24020.017,399.378,0.0313
25521.268,400.128,0.0330
27022.519,400.128,0.0347
28523.770,399.989,0.0364
30025.021,400.001,0.0380
31526.272,400.236,0.0396
33027.523,399.673,0.0412
34528.774,399.994,0.0428
36030.025,400.366,0.0444
37531.276,399.886,0.0459
39032.527,399.987,0.0474
40533.778,399.981,0.0489
42035.029,400.211,0.0504
43536.280,399.680,0.0519
45037.531,399.922,0.0533
46538.782,400.173,0.0547
48040.033,400.256,0.0561
49541.284,399.770,0.0575
51042.535,400.091,0.0589
52543.786,399.964,0.0603
54045.038,400.089,0.0616
55546.289,400.307,0.0630
57047.540,399.698,0.0643
58548.791,399.835,0.0656
60050.042,399.945,0.0669
61551.293,399.587,0.0682
63052.544,399.654,0.0695
64553.795,399.957,0.0707
66055.046,400.127,0.0720
67556.297,400.034,0.0732
69057.548,399.909,0.0744
70558.799,400.007,0.0757
72060.050,400.104,0.0769
73561.301,400.086,0.0781
75062.552,399.715,0.0792
76563.803,399.695,0.0804
78065.054,400.175,0.0816
79566.305,399.657,0.0827
81067.556,400.184,0.0839
82568.807,400.133,0.0850
84070.058,399.863,0.0862
85571.309,400.021,0.0873
87072.560,400.133,0.0884
88573.812,399.930,0.0895
90075.063,399.842,0.0906
91576.314,400.133,0.0917
93077.565,400.116,0.0928
94578.816,400.218,0.0939
96080.067,399.793,0.0949
97581.318,400.066,0.0960
99082.569,399.998,0.0971
100583.820,400.195,0.0981
102085.071,399.940,0.0992
103586.322,399.791,0.1002
105087.573,400.064,0.1012
106588.824,399.661,0.1023
108090.075,399.799,0.1033
109591.326,399.964,0.1043
111092.577,400.232,0.1053
112593.828,399.712,0.1063
114095.079,399.904,0.1073
115596.330,399.912,0.1083
117097.581,399.600,0.1093
118598.832,400.075,0.1103
120100.083,399.877,0.1113
121601.334,399.938,0.1123
123102.585,400.035,0.1133
124603.837,399.749,0.1142
126105.088,399.755,0.1152
127606.339,400.270,0.1162
129107.590,399.986,0.1171
130608.841,400.212,0.1181
132110.092,400.283,0.1191
133611.343,400.071,0.1200
135112.594,399.806,0.1210
136613.845,400.366,0.1219
138115.096,399.949,0.1229
139616.347,399.885,0.1238
141117.598,400.079,0.1247
142618.849,400.176,0.1257
144120.100,400.107,0.1266
145621.351,399.923,0.1275
147122.602,400.185,0.1285
148623.853,399.852,0.1294
150125.104,400.080,0.1303
151626.355,399.951,0.1312
153127.606,399.815,0.1321
154628.857,400.140,0.1331
156130.108,400.099,0.1340
157631.359,399.896,0.1349
159132.611,399.887,0.1358
160633.862,400.026,0.1367
162135.113,400.198,0.1376
163636.364,400.288,0.1385
165137.615,399.909,0.1394
166638.866,400.139,0.1403
168140.117,400.215,0.1412
169641.368,399.790,0.1421
171142.619,399.989,0.1430
172643.870,399.715,0.1439
174145.121,399.986,0.1448
175646.372,400.144,0.1456
177147.623,400.070,0.1465
178648.874,400.188,0.1474
180150.125,400.025,0.1483
181651.376,399.779,0.1492
183152.627,399.998,0.1501
184653.878,400.302,0.1509
186155.129,399.765,0.1518
187656.380,400.445,0.1527
189157.631,399.991,0.1536
190658.882,399.985,0.1545
192160.133,399.826,0.1553
193661.384,400.302,0.1562
195162.636,399.376,0.1571
196663.887,400.111,0.1579
198165.138,400.303,0.1588
199666.389,400.035,0.1597
201167.640,400.063,0.1606
202668.891,400.408,0.1614
204170.142,399.755,0.1623
205671.393,400.172,0.1632
207172.644,399.838,0.1640
208673.895,400.008,0.1649
210175.146,400.265,0.1657
211676.397,399.858,0.1666
213177.648,400.082,0.1675
214678.899,399.794,0.1683
216180.150,399.985,0.1692
217681.401,400.124,0.1700
219182.652,400.111,0.1709
220683.903,399.938,0.1718
222185.154,399.974,0.1726
223686.405,400.049,0.1735
225187.656,399.941,0.1743
226688.907,399.879,0.1752
228190.158,400.443,0.1760
229691.410,400.056,0.1769
231192.661,399.828,0.1777
232693.912,400.637,0.1786
234195.163,400.162,0.1795
235696.414,399.919,0.1803
237197.665,400.052,0.1812
238698.916,399.931,0.1820
240200.167,400.266,0.1829
241701.418,400.269,0.1837
243202.669,399.675,0.1846
244703.920,399.782,0.1854
246205.171,400.031,0.1863
247706.422,399.826,0.1871
249207.673,399.975,0.1880
250708.924,399.990,0.1888
252210.175,400.277,0.1896
253711.426,400.296,0.1905
255212.677,400.209,0.1913
256713.928,399.807,0.1922
258215.179,399.958,0.1930
259716.430,399.889,0.1939
261217.681,400.042,0.1947
262718.932,400.038,0.1956
264220.183,399.971,0.1964
265721.435,400.177,0.1973
267222.686,400.069,0.1981
268723.937,399.868,0.1989
270225.188,400.132,0.1998
271726.439,400.038,0.2006
273227.690,400.073,0.2015
274728.941,400.123,0.2023
276230.192,399.963,0.2032
277731.443,400.196,0.2040
279232.694,399.900,0.2048
280733.945,400.493,0.2057
282235.196,400.216,0.2065
283736.447,400.232,0.2074
285237.698,399.841,0.2082
286738.949,400.079,0.2091
288240.200,399.812,0.2099
289741.451,399.844,0.2107
291242.702,400.140,0.2116
292743.953,400.340,0.2124
294245.204,400.093,0.2133
295746.455,400.142,0.2141
297247.706,399.838,0.2149
298748.957,399.570,0.2158
300250.209,400.393,0.2166
301751.460,399.744,0.2175
303252.711,399.865,0.2183
304753.962,399.996,0.2191
306255.213,399.602,0.2200
307756.464,399.673,0.2208
309257.715,400.005,0.2216
310758.966,399.784,0.2225
312260.217,399.940,0.2233
313761.468,400.147,0.2242
315262.719,400.019,0.2250
316763.970,399.984,0.2258
318265.221,400.067,0.2267
319766.472,399.636,0.2275
321267.723,399.904,0.2284
322768.974,400.437,0.2292
324270.225,400.228,0.2300
325771.476,399.945,0.2309
327272.727,399.659,0.2317
328773.978,399.915,0.2325
330275.229,400.091,0.2334
331776.480,399.788,0.2342
333277.731,400.342,0.2350
334778.982,399.811,0.2359
336280.234,399.922,0.2367
337781.485,399.962,0.2376
339282.736,400.080,0.2384
340783.987,399.951,0.2392
342285.238,400.536,0.2401
343786.489,399.680,0.2409
345287.740,400.118,0.2417
346788.991,400.101,0.2426
348290.242,399.716,0.2434
349791.493,399.894,0.2443
351292.744,399.779,0.2451
352793.995,399.771,0.2459
354295.246,400.008,0.2468
355796.497,400.245,0.2476
357297.748,399.828,0.2484
358798.999,400.071,0.2493
360300.250,399.930,0.2501
361801.501,399.659,0.2509
363302.752,399.890,0.2518
364804.003,399.946,0.2526
366305.254,400.449,0.2534
367806.505,400.014,0.2543
369307.756,399.925,0.2551
370809.008,400.072,0.2560
372310.259,400.188,0.2568
373811.510,399.993,0.2576
375312.761,400.106,0.2585
376814.012,399.477,0.2593
378315.263,399.805,0.2601
379816.514,399.784,0.2610
381317.765,399.950,0.2618
382819.016,399.977,0.2626
384320.267,400.049,0.2635
385821.518,399.959,0.2643
387322.769,399.992,0.2651
388824.020,399.897,0.2660
390325.271,400.096,0.2668
391826.522,399.926,0.2676
393327.773,399.668,0.2685
394829.024,400.153,0.2693
396330.275,399.901,0.2702
397831.526,400.176,0.2710
399332.777,399.955,0.2718
400834.028,399.913,0.2727
402335.279,399.884,0.2735
403836.530,399.636,0.2743
405337.781,400.104,0.2752
406839.033,400.409,0.2760
408340.284,399.864,0.2768
409841.535,400.018,0.2777
411342.786,399.917,0.2785
412844.037,399.734,0.2793
414345.288,399.748,0.2802
415846.539,400.149,0.2810
417347.790,400.121,0.2818
418849.041,399.836,0.2827
420350.292,400.149,0.2835
421851.543,399.861,0.2843
423352.794,399.830,0.2852
424854.045,399.853,0.2860
426355.296,400.245,0.2868
427856.547,400.079,0.2877
429357.798,399.876,0.2885
430859.049,400.191,0.2893
432360.300,400.119,0.2902
433861.551,399.906,0.2910
435362.802,399.600,0.2919
