Time(s),Load(N),Disp(mm)
0.000,1.272,0.0000
0.160,538.026,0.0130
0.321,1078.979,0.0261
0.481,1616.207,0.0391
0.641,2156.875,0.0521
0.802,2696.194,0.0651
0.962,3236.325,0.0782
1.122,3774.297,0.0912
1.283,4314.903,0.1042
1.443,4852.564,0.1172
1.603,5392.128,0.1303
1.764,5930.962,0.1433
1.924,6473.180,0.1563
2.084,7008.097,0.1693
2.244,7550.564,0.1824
2.405,8087.455,0.1954
2.565,8199.092,0.2084
2.725,8244.176,0.2214
2.886,8275.186,0.2345
3.046,8298.634,0.2475
3.206,8316.924,0.2605
3.367,8336.127,0.2735
3.527,8352.633,0.2866
3.687,8367.733,0.2996
3.848,8379.037,0.3126
4.008,8391.531,0.3257
4.168,8404.096,0.3387
4.329,8413.713,0.3517
4.489,8426.044,0.3647
4.649,8436.810,0.3778
4.810,8444.578,0.3908
4.970,8455.077,0.4038
5.130,8464.039,0.4168
5.291,8473.208,0.4299
5.451,8479.525,0.4429
5.611,8486.851,0.4559
5.772,8494.098,0.4689
5.932,8503.983,0.4820
6.092,8512.017,0.4950
6.253,8518.495,0.5080
6.413,8526.018,0.5210
6.573,8531.033,0.5341
6.733,8539.206,0.5471
6.894,8543.513,0.5601
7.054,8550.632,0.5731
7.214,8555.321,0.5862
7.375,8563.989,0.5992
7.535,8569.496,0.6122
7.695,8574.844,0.6253
7.856,8581.370,0.6383
8.016,8585.951,0.6513
8.176,8594.589,0.6643
8.337,8597.245,0.6774
8.497,8605.652,0.6904
8.657,8609.823,0.7034
8.818,8614.480,0.7164
8.978,8621.015,0.7295
9.138,8624.610,0.7425
9.299,8629.650,0.7555
9.459,8635.697,0.7685
9.619,8638.663,0.7816
9.780,8644.501,0.7946
9.940,8651.636,0.8076
10.100,8653.600,0.8206
10.261,8656.982,0.8337
10.421,8661.501,0.8467
10.581,8665.957,0.8597
10.741,8671.588,0.8727
10.902,8676.959,0.8858
11.062,8681.074,0.8988
11.222,8683.325,0.9118
11.383,8689.520,0.9248
11.543,8694.759,0.9379
11.703,8696.510,0.9509
11.864,8702.455,0.9639
12.024,8706.687,0.9770
12.184,8710.687,0.9900
12.345,8710.929,1.0030
12.505,8717.758,1.0160
12.665,8721.122,1.0291
12.826,8725.213,1.0421
12.986,8727.794,1.0551
13.146,8735.245,1.0681
13.307,8736.243,1.0812
13.467,8741.330,1.0942
13.627,8744.882,1.1072
13.788,8747.537,1.1202
13.948,8751.518,1.1333
14.108,8756.448,1.1463
14.269,8757.256,1.1593
14.429,8760.879,1.1723
14.589,8765.431,1.1854
14.749,8770.117,1.1984
14.910,8771.992,1.2114
15.070,8777.123,1.2244
15.230,8779.210,1.2375
15.391,8781.529,1.2505
15.551,8786.131,1.2635
15.711,8788.861,1.2766
15.872,8793.054,1.2896
16.032,8794.691,1.3026
16.192,8800.002,1.3156
16.353,8803.251,1.3287
16.513,8805.529,1.3417
16.673,8808.151,1.3547
16.834,8811.705,1.3677
16.994,8813.943,1.3808
17.154,8819.119,1.3938
17.315,8820.303,1.4068
17.475,8824.115,1.4198
17.635,8827.278,1.4329
17.796,8832.572,1.4459
17.956,8833.741,1.4589
18.116,8837.103,1.4719
18.277,8839.534,1.4850
18.437,8844.979,1.4980
18.597,8848.502,1.5110
18.758,8849.657,1.5240
18.918,8852.255,1.5371
19.078,8854.628,1.5501
19.238,8858.710,1.5631
19.399,8861.130,1.5762
19.559,8863.192,1.5892
19.719,8864.660,1.6022
19.880,8868.752,1.6152
