Time(s),Load(N),Disp(mm)
0.000,0.594,0.0000
0.240,3696.471,0.0240
0.481,7395.475,0.0481
0.721,9657.137,0.0721
0.962,9871.083,0.0962
1.202,10003.188,0.1202
1.443,10105.068,0.1443
1.683,10190.658,0.1683
1.924,10259.032,0.1924
2.164,10328.184,0.2164
2.405,10383.281,0.2405
2.645,10437.111,0.2645
2.886,10486.300,0.2886
3.126,10532.226,0.3126
3.367,10576.428,0.3367
3.607,10618.546,0.3607
3.848,10657.457,0.3848
4.088,10694.613,0.4088
4.329,10729.346,0.4329
4.569,10764.925,0.4569
4.810,10794.854,0.4810
5.050,10828.659,0.5050
5.291,10858.893,0.5291
5.531,10889.125,0.5531
5.772,10918.265,0.5772
6.012,10940.946,0.6012
6.253,10970.984,0.6253
6.493,10997.019,0.6493
6.733,11021.564,0.6733
6.974,11044.824,0.6974
7.214,11073.365,0.7214
7.455,11097.278,0.7455
7.695,11119.751,0.7695
7.936,11141.743,0.7936
8.176,11163.071,0.8176
8.417,11185.570,0.8417
8.657,11206.755,0.8657
8.898,11222.932,0.8898
9.138,11249.246,0.9138
9.379,11269.891,0.9379
9.619,11287.595,0.9619
9.860,11307.356,0.9860
10.100,11330.176,1.0100
10.341,11343.754,1.0341
10.581,11362.619,1.0581
10.822,11381.913,1.0822
11.062,11399.944,1.1062
11.303,11418.184,1.1303
11.543,11435.329,1.1543
11.784,11453.864,1.1784
12.024,11468.897,1.2024
12.265,11484.846,1.2265
12.505,11504.247,1.2505
12.745,11519.193,1.2745
12.986,11533.407,1.2986
13.226,11551.687,1.3226
13.467,11566.864,1.3467
13.707,11582.117,1.3707
13.948,11595.516,1.3948
14.188,11611.005,1.4188
14.429,11626.407,1.4429
14.669,11643.615,1.4669
14.910,11652.940,1.4910
15.150,11671.765,1.5150
15.391,11686.020,1.5391
15.631,11701.657,1.5631
15.872,11712.624,1.5872
16.112,11725.721,1.6112
16.353,11738.848,1.6353
16.593,11753.657,1.6593
16.834,11768.929,1.6834
17.074,11779.019,1.7074
17.315,11795.170,1.7315
17.555,11807.391,1.7555
17.796,11821.858,1.7796
18.036,11833.386,1.8036
18.277,11846.054,1.8277
18.517,11857.465,1.8517
18.758,11869.895,1.8758
18.998,11883.085,1.8998
19.238,11894.156,1.9238
19.479,11909.283,1.9479
19.719,11919.145,1.9719
19.960,11931.350,1.9960
20.200,11943.399,2.0200
20.441,11957.858,2.0441
20.681,11968.657,2.0681
20.922,11981.513,2.0922
21.162,11990.152,2.1162
21.403,12001.619,2.1403
21.643,12014.200,2.1643
21.884,12024.187,2.1884
22.124,12037.617,2.2124
22.365,12046.897,2.2365
22.605,12056.284,2.2605
22.846,12067.311,2.2846
23.086,12076.665,2.3086
23.327,12088.593,2.3327
23.567,12100.973,2.3567
23.808,12110.166,2.3808
24.048,12120.344,2.4048
24.289,12131.460,2.4289
24.529,12143.042,2.4529
24.770,12152.490,2.4770
25.010,12163.248,2.5010
25.251,12174.935,2.5251
25.491,12183.367,2.5491
25.731,12192.455,2.5731
25.972,12205.788,2.5972
26.212,12215.118,2.6212
26.453,12226.476,2.6453
26.693,12233.493,2.6693
26.934,12243.780,2.6934
27.174,12253.685,2.7174
27.415,12263.655,2.7415
27.655,12273.402,2.7655
27.896,12282.193,2.7896
28.136,12295.368,2.8136
28.377,12302.692,2.8377
28.617,12310.125,2.8617
28.858,12318.182,2.8858
29.098,12329.442,2.9098
29.339,12338.497,2.9339
29.579,12345.826,2.9579
29.820,12359.343,2.9820
30.060,12368.167,3.0060
30.301,12375.791,3.0301
30.541,12384.063,3.0541
30.782,12396.027,3.0782
31.022,12399.602,3.1022
31.263,12408.434,3.1263
31.503,12417.851,3.1503
31.743,12426.534,3.1743
31.984,12435.647,3.1984
32.224,12443.990,3.2224
32.465,12453.372,3.2465
32.705,12462.006,3.2705
32.946,12468.994,3.2946
33.186,12480.406,3.3186
33.427,12489.536,3.3427
33.667,12496.944,3.3667
33.908,12505.930,3.3908
34.148,12514.545,3.4148
34.389,12523.535,3.4389
34.629,12529.950,3.4629
34.870,12538.177,3.4870
35.110,12544.974,3.5110
35.351,12553.913,3.5351
35.591,12566.664,3.5591
35.832,12572.282,3.5832
36.072,12578.932,3.6072
36.313,12588.897,3.6313
36.553,12594.226,3.6553
36.794,12602.937,3.6794
37.034,12615.097,3.7034
37.275,12617.846,3.7275
37.515,12626.943,3.7515
37.756,12634.794,3.7756
37.996,12642.507,3.7996
38.236,12648.938,3.8236
38.477,12659.991,3.8477
38.717,12664.507,3.8717
38.958,12673.862,3.8958
39.198,12681.613,3.9198
39.439,12687.573,3.9439
39.679,12696.253,3.9679
39.920,12700.527,3.9920
40.160,12711.275,4.0160
40.401,12716.143,4.0401
40.641,12725.591,4.0641
40.882,12732.799,4.0882
41.122,12743.221,4.1122
41.363,12748.200,4.1363
41.603,12756.855,4.1603
41.844,12764.415,4.1844
42.084,12770.504,4.2084
42.325,12777.029,4.2325
42.565,12784.862,4.2565
42.806,12790.625,4.2806
43.046,12801.285,4.3046
43.287,12804.654,4.3287
43.527,12815.071,4.3527
43.768,12818.443,4.3768
44.008,12827.554,4.4008
44.248,12834.102,4.4248
44.489,12841.583,4.4489
44.729,12848.690,4.4729
44.970,12852.807,4.4970
45.210,12864.669,4.5210
45.451,12871.255,4.5451
45.691,12874.038,4.5691
45.932,12883.193,4.5932
46.172,12890.399,4.6172
46.413,12898.223,4.6413
46.653,12902.983,4.6653
46.894,12908.562,4.6894
47.134,12918.474,4.7134
47.375,12924.448,4.7375
47.615,12932.474,4.7615
47.856,12938.006,4.7856
48.096,12944.557,4.8096
48.337,12951.478,4.8337
48.577,12955.725,4.8577
48.818,12966.028,4.8818
49.058,12971.536,4.9058
49.299,12978.110,4.9299
49.539,12985.078,4.9539
49.780,12989.363,4.9780
50.020,12996.301,5.0020
50.261,13005.379,5.0261
50.501,13010.871,5.0501
50.741,13015.374,5.0741
50.982,13023.596,5.0982
51.222,13026.991,5.1222
51.463,13033.665,5.1463
51.703,13045.862,5.1703
51.944,13047.388,5.1944
52.184,13054.598,5.2184
52.425,13059.237,5.2425
52.665,13064.655,5.2665
52.906,13072.945,5.2906
53.146,13078.604,5.3146
53.387,13087.935,5.3387
53.627,13091.002,5.3627
53.868,13100.144,5.3868
54.108,13101.657,5.4108
54.349,13108.958,5.4349
54.589,13114.256,5.4589
54.830,13119.831,5.4830
55.070,13129.506,5.5070
55.311,13132.294,5.5311
55.551,13142.310,5.5551
55.792,13147.331,5.5792
56.032,13152.612,5.6032
56.273,13163.757,5.6273
56.513,13166.954,5.6513
56.754,13172.553,5.6754
56.994,13177.796,5.6994
57.234,13181.206,5.7234
57.475,13187.188,5.7475
57.715,13196.050,5.7715
57.956,13202.056,5.7956
58.196,13210.860,5.8196
58.437,13210.732,5.8437
58.677,13219.152,5.8677
58.918,13222.566,5.8918
59.158,13227.949,5.9158
59.399,13236.735,5.9399
59.639,13240.973,5.9639
59.880,13246.926,5.9880
60.120,13251.141,6.0120
60.361,13257.597,6.0361
60.601,13268.082,6.0601
60.842,13274.514,6.0842
61.082,13277.413,6.1082
61.323,13279.747,6.1323
61.563,13286.060,6.1563
61.804,13290.043,6.1804
62.044,13299.115,6.2044
62.285,13303.381,6.2285
62.525,13308.687,6.2525
62.766,13316.305,6.2766
63.006,13319.665,6.3006
63.246,13325.940,6.3246
63.487,13330.094,6.3487
63.727,13336.190,6.3727
63.968,13341.042,6.3968
64.208,13347.899,6.4208
64.449,13352.851,6.4449
64.689,13359.608,6.4689
64.930,13365.124,6.4930
65.170,13369.532,6.5170
65.411,13377.944,6.5411
65.651,13380.971,6.5651
65.892,13387.019,6.5892
66.132,13389.989,6.6132
66.373,13399.882,6.6373
66.613,13401.173,6.6613
66.854,13408.381,6.6854
67.094,13413.373,6.7094
67.335,13417.155,6.7335
67.575,13425.177,6.7575
67.816,13429.905,6.7816
68.056,13434.861,6.8056
68.297,13439.601,6.8297
68.537,13446.264,6.8537
68.778,13451.054,6.8778
69.018,13456.128,6.9018
69.259,13456.879,6.9259
69.499,13465.762,6.9499
69.739,13473.857,6.9739
69.980,13477.311,6.9980
70.220,13482.168,7.0220
